Company,Board,Exec,Employer,Fname,MI,Lname,source_file
AmeriasourceBergen,Y,Y,AmeriasourceBergen,James ,F,Cleary,AmerisourceBergenBOD.xlsx
AmeriasourceBergen,Y,Y,AmeriasourceBergen,John,G,Chou,AmerisourceBergenBOD.xlsx
AmeriasourceBergen,Y,Y,AmeriasourceBergen,Gina,K,Clark,AmerisourceBergenBOD.xlsx
AmeriasourceBergen,Y,Y,AmeriasourceBergen,Silvana,,Battaglia,AmerisourceBergenBOD.xlsx
AmeriasourceBergen,Y,Y,AmeriasourceBergen,Leslie,,Donato,AmerisourceBergenBOD.xlsx
Apple,Y,Y,Apple,Timothy,D ,Cook,AppleBOD.xlsx
Apple,Y,Y,Apple,Luca,,Maestri,AppleBOD.xlsx
Apple,N,Y,Apple,Kate,L ,Adams,AppleBOD.xlsx
Apple,N,Y,Apple,Deidre,,O'brien,AppleBOD.xlsx
Apple,N,Y,Apple,Jeff,,Williams,AppleBOD.xlsx
Apple,Y,N,Retired Boeing,James,A. ,Bell,AppleBOD.xlsx
Apple,Y,N,Climate Reality Project,Albert,A. ,Gore,AppleBOD.xlsx
Apple,Y,N,Grameen America LLC,Andrea,,Jung,AppleBOD.xlsx
Apple,Y,N,Calico,Art,,Levinson,AppleBOD.xlsx
Apple,Y,N,The College Futures Foundation,Monica,,Lozano,AppleBOD.xlsx
Apple,Y,N,Retired Northrop Grumman,Ron,,Sugar,AppleBOD.xlsx
Apple,Y,N,Retired Blackrock,Sue,L ,Wagner,AppleBOD.xlsx
BankofAmerica,Y,Y,BOA CHAIRMAN & CEO,Brian ,T. ,Moynihan,BankofAmericaBOD.xlsx
